1.9. Внешнеторговый оборот – всего1), млрд.долларов США / Foreign trade turnover – total1), bln US dollars																	
1999	115,1	24,4	27,2	28,4	35,1	7,2	7,9	9,3	9,8	8,0	9,3	9,5	9,3	9,6	10,4	11,1	13,7
в % к соответствующему периоду предыдущего года / percent of corresponding period of previous year																	
1999	86,9	68,1	75,5	87,0	125,3	63,5	68,3	72,1	80,5	68,6	77,0	78,4	83,7	102,2	117,9	127,4	129,8
в % к предыдущему периоду / percent of previous period																	
1999		87,0	111,5	104,3	123,9	68,1	109,5	118,0	105,7	81,5	116,7	101,8	97,4	103,2	108,2	106,9	123,9
в том числе:																	
экспорт товаров – всего, млрд.долларов США																	
/ of which: export of goods – total, bln US dollars																	
1999	75,6	15,3	17,1	18,9	24,3	4,5	4,9	5,8	6,6	5,1	5,4	6,3	6,2	6,4	7,0	7,6	9,7
в % к соответствующему периоду предыдущего года / percent of corresponding period of previous year																	
1999	101,5	85,1	91,6	98,5	130,1	79,0	86,8	89,0	106,4	84,9	83,8	94,4	99,8	101,5	119,0	132,3	137,5
в % к предыдущему периоду / percent of previous period																	
1999		81,7	111,9	110,5	128,8	63,7	109,5	118,3	112,4	78,3	105,1	116,4	98,2	104,4	108,4	109,0	127,9
импорт товаров – всего, млрд.долларов США																	
/ import of goods – total, bln US dollars																	
1999	39,5	9,1	10,1	9,5	10,8	2,7	3,0	3,5	3,3	2,9	4,0	3,2	3,1	3,1	3,4	3,5	4,0
в % к соответствующему периоду предыдущего года / percent of corresponding period of previous year																	
1999	68,1	51,1	58,1	70,6	115,8	47,8	50,3	54,7	54,2	51,0	69,3	58,9	63,4	103,5	115,7	117,7	114,3
в % к предыдущему периоду / percent of previous period																	
1999		97,4	110,9	93,8	114,2	77,0	109,7	117,6	94,5	87,8	137,3	81,9	96,0	100,9	107,7	102,5	115,3
1.9.1. Внешнеторговый оборот со странами дальнего зарубежья – всего, млрд.долларов США / Foreign trade turnover with far abroad countries – total, bln US dollars